Name,Location,Latitude,Longitude,Found,Quality,Source
"Oroxata- ""Artesanos de la Horchata en tu Fábrica de Siempre""","Calle Pedro Tezano, 11, 28039 Madrid",40.4596615,-3.7073996,"Calle Pedro Tezano, 11, 28039 Madrid, Spain",Match,Google
Chino de la esquina. Alimentacion Regalos Y Mas,"Calle Huerta del Obispo, 1, 28039 Madrid",40.461106,-3.7037953,"Calle Huerta del Obispo, 1, 28039 Madrid, Spain",Match,Google
La Tahona Panadería - Pastelería,"Calle del Marqués de Viana, 59, 28039 Madrid",40.4628152,-3.7029476,"Calle del Marqués de Viana, 59, 28039 Madrid, Spain",Match,Google
Covirán,"Calle del Marqués de Viana, 29, 28039 Madrid",40.4617187,-3.7007994,"Calle del Marqués de Viana, 29, 28039 Madrid, Spain",Match,Google
Mercado Municipal de Tetuán,"Calle del Marqués de Viana, 4, 28039 Madrid",40.4609998,-3.6988122,"Calle del Marqués de Viana, 4, 28039 Madrid, Spain",Match,Google
Platos preparados. Comida para llevar,"Calle de Sor Ángela de la Cruz, 35, 28039 Madrid",40.4599961,-3.6975489,"Calle de Sor Ángela de la Cruz, 35, 28020 Madrid, Spain",Match,Google
La Plaza de Día,"Calle Ntra. Sra. del Carmen, 22, 28039 Madrid",40.4594764,-3.7024901,"Calle Ntra. Sra. del Carmen, 22, 28039 Madrid, Spain",Match,Google
Carnicería Alhambra,"Calle de San Germán, 49, 28020 Madrid",40.4571169,-3.7002377,"Calle de San Germán, 49, 28020 Madrid, Spain",Match,Google
Frutería Las Gemelas,"Calle de San Germán, 51, 28020 Madrid",40.4570728,-3.7007596,"Calle de San Germán, 51, 28020 Madrid, Spain",Match,Google
Carnicería La Palmera,"Calle de San Germán, 53, 28020 Madrid",40.4571644,-3.7008458,"Calle de San Germán, 53, 28020 Madrid, Spain",Match,Google
